明史.txt 詞頻分佈分析：嚴嵩、南京、尚書
全文長度：3,279,015 字，切成 20 段（每段約 163,950 字）

詞	字符出現次數	jieba分詞次數
嚴嵩	155	125
南京	1954	1951
尚書	3333	2299

各段分佈（第20段至文末）：
段	位置	嚴嵩	南京	尚書
1	0%–5%	1	103	169
2	5%–10%	0	104	4
3	10%–15%	3	36	33
4	15%–20%	5	24	76
5	20%–25%	1	57	91
6	25%–30%	7	57	78
7	30%–35%	0	31	53
8	35%–40%	0	119	143
9	40%–45%	0	101	132
10	45%–50%	3	191	190
11	50%–55%	28	181	261
12	55%–60%	36	135	174
13	60%–65%	15	267	221
14	65%–70%	1	91	119
15	70%–75%	0	85	166
16	75%–80%	2	107	108
17	80%–85%	7	141	65
18	85%–90%	12	81	136
19	90%–95%	1	28	46
20	95%–100%	3	12	34
